index,Įstaigos_pavadinimas,Medikų_kiekis__VISO,Karantinuota__VISO,Medikų_kiekis_30___50_m_,Karantinuota_viso_30___50_m_,Medikų_kiekis_50__,Karantinuota_viso_50__,Medikai_reanimatologai__VISO,Karantinuota_reanimatologai__VISO,Atsarga,Apmokyti_medikai,FID,insert_timestamp
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 23:00:03.411127
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 23:00:03.411127
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 23:00:03.411127
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 23:00:03.411127
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 23:00:03.411127
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 23:00:03.411127
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 23:00:03.411127
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 23:00:03.411127
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 23:00:03.411127
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 23:00:03.411127
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 00:00:03.592355
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 00:00:03.592355
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 00:00:03.592355
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 00:00:03.592355
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 00:00:03.592355
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 00:00:03.592355
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 00:00:03.592355
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 00:00:03.592355
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 00:00:03.592355
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 00:00:03.592355
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 00:00:03.592355
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 00:00:03.592355
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 00:00:03.592355
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 00:00:03.592355
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 00:00:03.592355
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 00:00:03.592355
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 00:00:03.592355
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 00:00:03.592355
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 01:00:03.515762
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 01:00:03.515762
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 01:00:03.515762
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 01:00:03.515762
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 01:00:03.515762
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 01:00:03.515762
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 01:00:03.515762
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 01:00:03.515762
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 01:00:03.515762
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 01:00:03.515762
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 01:00:03.515762
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 01:00:03.515762
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 01:00:03.515762
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 01:00:03.515762
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 01:00:03.515762
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 01:00:03.515762
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 01:00:03.515762
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 01:00:03.515762
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 02:00:03.205354
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 02:00:03.205354
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 02:00:03.205354
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 02:00:03.205354
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 02:00:03.205354
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 02:00:03.205354
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 02:00:03.205354
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 02:00:03.205354
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 02:00:03.205354
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 02:00:03.205354
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 02:00:03.205354
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 02:00:03.205354
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 02:00:03.205354
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 02:00:03.205354
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 02:00:03.205354
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 02:00:03.205354
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 02:00:03.205354
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 02:00:03.205354
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 03:00:05.494865
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 03:00:05.494865
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 03:00:05.494865
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 03:00:05.494865
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 03:00:05.494865
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 03:00:05.494865
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 03:00:05.494865
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 03:00:05.494865
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 03:00:05.494865
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 03:00:05.494865
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 03:00:05.494865
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 03:00:05.494865
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 03:00:05.494865
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 03:00:05.494865
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 03:00:05.494865
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 03:00:05.494865
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 03:00:05.494865
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 03:00:05.494865
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 04:00:03.992034
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 04:00:03.992034
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 04:00:03.992034
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 04:00:03.992034
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 04:00:03.992034
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 04:00:03.992034
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 04:00:03.992034
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 04:00:03.992034
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 04:00:03.992034
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 04:00:03.992034
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 04:00:03.992034
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 04:00:03.992034
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 04:00:03.992034
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 04:00:03.992034
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 04:00:03.992034
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 04:00:03.992034
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 04:00:03.992034
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 04:00:03.992034
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 05:00:05.652704
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 05:00:05.652704
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 05:00:05.652704
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 05:00:05.652704
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 05:00:05.652704
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 05:00:05.652704
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 05:00:05.652704
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 05:00:05.652704
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 05:00:05.652704
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 05:00:05.652704
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 05:00:05.652704
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 05:00:05.652704
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 05:00:05.652704
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 05:00:05.652704
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 05:00:05.652704
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 05:00:05.652704
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 05:00:05.652704
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 05:00:05.652704
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 06:00:04.488062
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 06:00:04.488062
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 06:00:04.488062
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 06:00:04.488062
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 06:00:04.488062
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 06:00:04.488062
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 06:00:04.488062
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 06:00:04.488062
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 06:00:04.488062
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 06:00:04.488062
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 06:00:04.488062
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 06:00:04.488062
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 06:00:04.488062
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 06:00:04.488062
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 06:00:04.488062
0,VšĮ Vilkpėdės ligoninė,,,,,,,,,,,1,2020-03-23 19:00:05.002503
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 06:00:04.488062
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 06:00:04.488062
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 06:00:04.488062
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-23 07:00:07.728975
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-23 07:00:07.728975
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-23 07:00:07.728975
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-23 07:00:07.728975
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-23 07:00:07.728975
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-23 07:00:07.728975
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-23 07:00:07.728975
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-23 07:00:07.728975
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-23 07:00:07.728975
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-23 07:00:07.728975
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-23 07:00:07.728975
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-23 07:00:07.728975
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-23 07:00:07.728975
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-23 07:00:07.728975
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-23 07:00:07.728975
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-23 07:00:07.728975
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-23 07:00:07.728975
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-23 07:00:07.728975
0,VšĮ Vilkpėdės ligoninė,167,4,,0,,4,0,0,0,0,1,2020-03-23 08:00:06.326810
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,,0,,0,0,0,0,0,2,2020-03-23 08:00:06.326810
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,,0,,0,0,0,0,0,3,2020-03-23 08:00:06.326810
3,VšĮ Šv. Roko ligoninė,169,7,,1,,6,0,0,0,0,4,2020-03-23 08:00:06.326810
4,VšĮ Antakalnio poliklinika,443,13,,11,,2,3,0,0,0,5,2020-03-23 08:00:06.326810
5,VšĮ Karoliniškių poliklinika,166,7,,7,,0,3,0,0,0,6,2020-03-23 08:00:06.326810
6,VšĮ Lazdynų poliklinika,139,6,,5,,1,0,0,0,0,7,2020-03-23 08:00:06.326810
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,,0,,0,3,0,0,0,8,2020-03-23 08:00:06.326810
8,VšĮ Naujininkų poliklinika,124,1,,0,,1,0,0,0,0,9,2020-03-23 08:00:06.326810
9,VšĮ Naujosios Vilnios poliklinika,132,3,,2,,1,0,0,0,0,10,2020-03-23 08:00:06.326810
10,VšĮ Šeškinės poliklinika,448,25,,11,,14,0,0,0,0,11,2020-03-23 08:00:06.326810
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,,10,,4,0,0,0,0,12,2020-03-23 08:00:06.326810
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,,4,,1,0,0,0,0,13,2020-03-23 08:00:06.326810
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,,0,,0,0,0,0,0,14,2020-03-23 08:00:06.326810
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,,0,,0,0,0,0,0,15,2020-03-23 08:00:06.326810
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,,0,,0,0,0,0,0,16,2020-03-23 08:00:06.326810
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,,0,,0,0,0,0,0,17,2020-03-23 08:00:06.326810
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,,0,,0,0,0,0,0,18,2020-03-23 08:00:06.326810
18,VšĮ VUL Žalgirio klinika,95,0,,0,,0,9,0,0,0,19,2020-03-23 08:00:06.326810
33,UAB "Neuromeda',,,,,,,,,,,34,2020-03-24 12:00:07.653071
0,VšĮ Vilkpėdės ligoninė,167,4,,0,,4,0,0,0,0,1,2020-03-23 09:00:03.009250
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,,0,,0,0,0,0,0,2,2020-03-23 09:00:03.009250
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,,0,,0,0,0,0,0,3,2020-03-23 09:00:03.009250
3,VšĮ Šv. Roko ligoninė,169,7,,1,,6,0,0,0,0,4,2020-03-23 09:00:03.009250
4,VšĮ Antakalnio poliklinika,443,13,,11,,2,3,0,0,0,5,2020-03-23 09:00:03.009250
5,VšĮ Karoliniškių poliklinika,166,7,,7,,0,3,0,0,0,6,2020-03-23 09:00:03.009250
6,VšĮ Lazdynų poliklinika,139,6,,5,,1,0,0,0,0,7,2020-03-23 09:00:03.009250
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,,0,,0,3,0,0,0,8,2020-03-23 09:00:03.009250
8,VšĮ Naujininkų poliklinika,124,1,,0,,1,0,0,0,0,9,2020-03-23 09:00:03.009250
9,VšĮ Naujosios Vilnios poliklinika,132,3,,2,,1,0,0,0,0,10,2020-03-23 09:00:03.009250
10,VšĮ Šeškinės poliklinika,448,25,,11,,14,0,0,0,0,11,2020-03-23 09:00:03.009250
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,,10,,4,0,0,0,0,12,2020-03-23 09:00:03.009250
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,,4,,1,0,0,0,0,13,2020-03-23 09:00:03.009250
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,,0,,0,0,0,0,0,14,2020-03-23 09:00:03.009250
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,,0,,0,0,0,0,0,15,2020-03-23 09:00:03.009250
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,,0,,0,0,0,0,0,16,2020-03-23 09:00:03.009250
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,,0,,0,0,0,0,0,17,2020-03-23 09:00:03.009250
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,,0,,0,0,0,0,0,18,2020-03-23 09:00:03.009250
18,VšĮ VUL Žalgirio klinika,95,0,,0,,0,9,0,0,0,19,2020-03-23 09:00:03.009250
0,VšĮ Vilkpėdės ligoninė,167,4,,0,,4,0,0,0,0,1,2020-03-23 10:00:02.715174
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,,0,,0,0,0,0,0,2,2020-03-23 10:00:02.715174
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,,0,,0,0,0,0,0,3,2020-03-23 10:00:02.715174
3,VšĮ Šv. Roko ligoninė,169,7,,1,,6,0,0,0,0,4,2020-03-23 10:00:02.715174
4,VšĮ Antakalnio poliklinika,443,13,,11,,2,3,0,0,0,5,2020-03-23 10:00:02.715174
5,VšĮ Karoliniškių poliklinika,166,7,,7,,0,3,0,0,0,6,2020-03-23 10:00:02.715174
6,VšĮ Lazdynų poliklinika,139,6,,5,,1,0,0,0,0,7,2020-03-23 10:00:02.715174
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,,0,,0,3,0,0,0,8,2020-03-23 10:00:02.715174
8,VšĮ Naujininkų poliklinika,124,1,,0,,1,0,0,0,0,9,2020-03-23 10:00:02.715174
9,VšĮ Naujosios Vilnios poliklinika,132,3,,2,,1,0,0,0,0,10,2020-03-23 10:00:02.715174
10,VšĮ Šeškinės poliklinika,448,25,,11,,14,0,0,0,0,11,2020-03-23 10:00:02.715174
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,,10,,4,0,0,0,0,12,2020-03-23 10:00:02.715174
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,,4,,1,0,0,0,0,13,2020-03-23 10:00:02.715174
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,,0,,0,0,0,0,0,14,2020-03-23 10:00:02.715174
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,,0,,0,0,0,0,0,15,2020-03-23 10:00:02.715174
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,,0,,0,0,0,0,0,16,2020-03-23 10:00:02.715174
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,,0,,0,0,0,0,0,17,2020-03-23 10:00:02.715174
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,,0,,0,0,0,0,0,18,2020-03-23 10:00:02.715174
18,VšĮ VUL Žalgirio klinika,95,0,,0,,0,9,0,0,0,19,2020-03-23 10:00:02.715174
0,VšĮ Vilkpėdės ligoninė,167,4,,0,,4,0,0,0,0,1,2020-03-23 11:00:03.448811
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,,0,,0,0,0,0,0,2,2020-03-23 11:00:03.448811
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,,0,,0,0,0,0,0,3,2020-03-23 11:00:03.448811
